bike_id,company,last_updated,lat,lon,saved_at,tractid
GS8P,razor,1618706761,38.8786946,-77.0230916,1618706969,11001010202
LD52,razor,1618706761,38.8988486,-77.0334463,1618706969,11001005802
NTH1,razor,1618706761,38.901488,-77.0611128,1618706969,11001000102
CX3R,razor,1618706761,38.901562,-77.0611126,1618706969,11001000102
EIW0,razor,1618706761,38.9166375,-77.0569448,1618706969,11001004100
TYZ0,razor,1618706761,38.8867148,-76.9877563,1618706969,11001006700
CYJR,razor,1618706761,38.9267418,-76.9851,1618706969,11001009301
KWCN,razor,1618706761,38.9003923,-76.9972483,1618706969,11001010602
SWKV,razor,1618706761,38.8882838,-76.990312,1618706969,11001006700
P3W8,razor,1618706761,38.8997061,-77.026805,1618706969,11001005802
MRDX,razor,1618706761,38.8923218,-77.0313058,1618706969,11001980000
MMIK,razor,1618706761,38.8997853,-77.0161603,1618706969,11001005900
DQJE,razor,1618706761,38.8961341,-77.0299055,1618706969,11001005802
ACRK,razor,1618706761,38.90709,-77.0037408,1618706969,11001010601
V3MV,razor,1618706761,38.8741065,-76.9712403,1618706969,11001007709
IEA6,razor,1618706761,38.9014335,-76.9430725,1618706969,11001007803
KKNE,razor,1618706761,38.902739,-76.9363423,1618706969,11001007809
T1EK,razor,1618706761,38.8989723,-76.9339668,1618706969,11001007804
E8ZC,razor,1618706761,38.8990451,-76.9333931,1618706969,11001007804
FU3A,razor,1618706761,38.8871636,-76.930195,1618706969,11001009904
DBSF,razor,1618706761,38.8902488,-76.9374336,1618706969,11001007803
SKAD,razor,1618706761,38.8833671,-76.9312691,1618706969,11001009904
BTGZ,razor,1618706761,38.9004046,-77.013416,1618706969,11001004702
SNKF,razor,1618706761,38.9036183,-77.028226,1618706969,11001010100
KVPO,razor,1618706761,38.8677091,-76.9658556,1618706969,11001007604
BIRO,razor,1618706761,38.867617,-76.9665181,1618706969,11001007604
WLEH,razor,1618706761,38.9044868,-77.032216,1618706969,11001010100
S0W4,razor,1618706761,38.8868715,-76.9578233,1618706969,11001007708
GUX1,razor,1618706761,38.9170713,-77.0394208,1618706969,11001004201
IVZP,razor,1618706761,38.9166345,-77.0417445,1618706969,11001004202
AWXH,razor,1618706761,38.9143278,-77.041799,1618706969,11001004202
KGH1,razor,1618706761,38.9175925,-77.0320438,1618706969,11001004300
MA9Y,razor,1618706761,38.8762153,-77.0040946,1618706969,11001007201
I3OF,razor,1618706761,38.9026696,-77.0381421,1618706969,11001010700
UNY7,razor,1618706761,38.917515,-77.0319405,1618706969,11001004401
Q2K3,razor,1618706761,38.920492,-76.9957201,1618706969,11001009102
J4RJ,razor,1618706761,38.9204558,-76.9957908,1618706969,11001009102
RZJ7,razor,1618706761,38.887433,-77.0178381,1618706969,11001010202
EUBH,razor,1618706761,38.8768633,-77.0175631,1618706969,11001010201
OXND,razor,1618706761,38.9188923,-77.036486,1618706969,11001004300
M9CK,razor,1618706761,38.8954448,-77.0333288,1618706969,11001980000
RWNR,razor,1618706761,38.8952948,-77.0332898,1618706969,11001980000
LAVH,razor,1618706761,38.894624,-77.0111421,1618706969,11001005900
N259,razor,1618706761,38.9204541,-76.9958138,1618706969,11001009102
HQ0Z,razor,1618706761,38.8784758,-77.0302531,1618706969,11001980000
ROSR,razor,1618706761,38.8967308,-77.0268503,1618706969,11001005802
JTX3,razor,1618706761,38.8952475,-77.0295235,1618706969,11001980000
SCHJ,razor,1618706761,38.887785,-77.0316603,1618706969,11001980000
I8IP,razor,1618706761,38.8973533,-77.0228336,1618706969,11001005802
